ags5,date,ground_truth,pred,error
3155,8/31/2018,5.3,5.4328337,0.132833672
3155,9/30/2018,5.1,5.390788,0.290788078
3155,10/31/2018,5.1,5.112156,0.012155914
3155,11/30/2018,5,5.1235366,0.123536587
3155,12/31/2018,5.1,5.2970996,0.19709959
3155,1/31/2019,5.6,5.347486,0.252513981
3155,2/28/2019,5.4,5.3949337,0.005066299
3155,3/31/2019,5.2,5.4228787,0.222878742
3155,4/30/2019,5,5.1798744,0.17987442
3155,5/31/2019,5.1,5.1329446,0.032944584
3155,6/30/2019,5,5.191765,0.191764832
3155,7/31/2019,5.2,5.1030216,0.096978378
3155,8/31/2019,5.2,5.0694127,0.130587292
3155,9/30/2019,4.9,4.991477,0.091477013
